occupation_d,¿Tu empleador ha cambiado o actualizado su política sobre el trabajo remoto desde COVID-19?,¿Has trabajado alguna vez parte de tu día de forma remota y parte en el lugar de trabajo de tu empleador (2021)?,¿Con qué frecuencia trabajas de esta manera?,¿Con qué frecuencia te gustaría trabajar de esta manera?,¿Tu empleador tiene una política que requiere que los trabajadores estén en el lugar de trabajo del empleador parte del tiempo?,¿Cuánto tiempo de tu jornada laboral requiere la política de tu empleador que estés en su lugar de trabajo?,(prw) La política de trabajo remoto de mi empleador me conviene,(prw) Puedo elegir cuánto trabajo hago de forma remota,(prw) Elijo en qué días trabajo de forma remota,(prw) Mi supervisor directo tiene la discreción de permitir o denegar el trabajo remoto,¿Cómo te sientes acerca de la política de trabajo remoto de tu empleador?,¿Estarías interesado/a en negociar el trabajo remoto?,¿Cuál es la mayor reducción de salario que aceptarías?
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,Yes,50.0,50.0,No,,2,2,2,1,Neither positive nor negative,Yes,0.01
Gerentes de Oficina y Administradores de Programas,Yes,Yes,10.0,10.0,No,,2,2,2,0,Somewhat Positive,No,
Profesionales de la Salud,Yes,No,,,Unsure,,2,1,0,1,Strongly Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,70.0,80.0,No,,2,2,2,1,Strongly Positive,No,
Profesionales de la Educación,No,No,,,No,,-2,-2,-2,2,Neither positive nor negative,No,
Oficios de Construcción,Yes,No,,,No,,2,2,2,2,Strongly Positive,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,30.0,10.0,Yes,30%,-1,0,0,1,Somewhat Negative,Yes,0.2
Cuidadores y Asistentes,Yes,No,,,No,,0,0,0,0,Neither positive nor negative,No,
Oficios de Automoción e Ingeniería,Yes,No,,,No,,2,2,2,1,Strongly Positive,No,
Oficios de Automoción e Ingeniería,No,Yes,10.0,10.0,Yes,90%,-1,-1,0,0,Neither positive nor negative,No,
Apoyo de Salud y Bienestar,Yes,Yes,60.0,50.0,Yes,40%,2,0,-2,1,Strongly Positive,No,
Clerks Numéricos,Yes,No,,,Yes,60%,0,1,-1,0,Neither positive nor negative,Yes,0.05
Profesionales de la Salud,Yes,Yes,20.0,10.0,No,,1,0,0,1,Neither positive nor negative,Yes,0.05
Gerentes Especialistas,Yes,Yes,10.0,20.0,Yes,80%,1,-2,-2,2,Somewhat Positive,No,
Profesionales de la Educación,Yes,Yes,10.0,10.0,Unsure,,0,-1,1,1,Somewhat Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,70.0,100.0,Yes,20%,1,1,1,1,Somewhat Positive,Yes,0.2
Asistentes y Vendedores,Yes,Yes,50.0,50.0,Unsure,,0,0,0,0,Neither positive nor negative,Yes,0.5
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,30.0,50.0,Yes,50% - About half of my time,2,-2,-2,2,Strongly Positive,Yes,0.02
Gerentes Especialistas,Yes,No,,,Yes,60%,1,-1,-1,1,Somewhat Positive,No,
Oficios de Construcción,Yes,Yes,60.0,90.0,Yes,90%,2,2,2,1,Strongly Positive,Yes,0.7
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,10.0,10.0,Yes,40%,1,1,1,0,Somewhat Positive,No,
Gerentes Especialistas,No,No,,,Yes,Less than 10% of my time,2,2,1,1,Somewhat Positive,No,
Agricultores y Gerentes de Granjas,Yes,Yes,90.0,90.0,Yes,80%,2,2,2,2,Strongly Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,40.0,40.0,Yes,40%,2,2,1,1,Strongly Positive,Yes,0.4
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,20.0,50.0,No,,2,1,2,1,Strongly Positive,Yes,0.15
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,20.0,20.0,Yes,40%,1,-1,1,2,Strongly Positive,Yes,0.2
Soporte de Ventas,Yes,No,,,Yes,40%,0,-2,-1,1,Somewhat Negative,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,,,No,,1,1,1,-2,Strongly Positive,No,
Asistentes Personales y Secretarias,Yes,Yes,10.0,50.0,Yes,50% - About half of my time,-2,-2,-2,-2,Neither positive nor negative,Yes,0.1
Gerentes Especialistas,Yes,Yes,90.0,90.0,Yes,10%,2,1,1,1,Strongly Positive,Yes,0.05
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,,,Yes,50% - About half of my time,0,1,1,-1,Somewhat Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,80.0,60.0,Yes,40%,1,1,1,1,Strongly Positive,No,
Profesionales de la Educación,Yes,No,,,Unsure,,1,1,1,1,Somewhat Positive,No,
Clerical General,No,No,,,Unsure,,2,0,0,1,Neither positive nor negative,No,
Otros Clericales y Administrativos,Yes,No,,,No,,-1,-2,-1,2,Neither positive nor negative,No,
Asistentes y Vendedores,Yes,Yes,20.0,20.0,No,,2,1,1,2,Strongly Positive,No,
Profesionales de la Educación,No,No,,,No,,2,-2,-2,-2,Strongly Negative,Yes,0.05
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,No,,,No,,2,1,1,2,Strongly Positive,No,
Gerentes Especialistas,Yes,No,,,Yes,90%,0,0,1,1,Neither positive nor negative,No,
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",No,Yes,50.0,50.0,Unsure,,0,0,0,0,Neither positive nor negative,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,20.0,Yes,20%,2,1,2,1,Somewhat Positive,Yes,0.3
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,,,Unsure,,2,2,2,2,Neither positive nor negative,No,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,50.0,70.0,Unsure,,1,1,2,1,Strongly Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,,,No,,-2,-2,-2,-1,Strongly Positive,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,20.0,30.0,Yes,30%,-1,-1,0,0,Somewhat Positive,Yes,0.3
Asistentes Personales y Secretarias,No,Yes,10.0,10.0,Unsure,,2,1,2,-1,Strongly Positive,Yes,0.1
Asistentes y Vendedores,Yes,Yes,20.0,50.0,Yes,70%,1,0,-1,-2,Somewhat Positive,Yes,0.05
Apoyo Clerical y de Oficina,Yes,Yes,90.0,100.0,No,,2,2,2,-2,Strongly Positive,No,
Gerentes Especialistas,Yes,Yes,10.0,10.0,Yes,60%,-1,2,-1,1,Somewhat Negative,No,
Gerentes Especialistas,Yes,Yes,20.0,10.0,Yes,30%,0,-1,0,1,Somewhat Negative,Yes,0.15
Oficios de Automoción e Ingeniería,Yes,Yes,20.0,10.0,Yes,20%,0,1,1,2,Neither positive nor negative,Yes,0.01
Proceso de Fábrica,Yes,Yes,10.0,10.0,Yes,50% - About half of my time,-2,-2,-2,0,Strongly Negative,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,80.0,60.0,Yes,30%,1,2,1,1,Somewhat Positive,Yes,0.23
Apoyo Clerical y de Oficina,Yes,Yes,10.0,10.0,Yes,Less than 10% of my time,1,1,1,1,Somewhat Positive,No,
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,10.0,10.0,Yes,60%,2,1,2,2,Strongly Positive,No,
Profesionales de las Artes y los Medios,Yes,Yes,50.0,20.0,Yes,100% - All of my time,-2,-2,-2,1,Somewhat Negative,No,
Apoyo Clerical y de Oficina,No,Yes,10.0,10.0,No,,0,0,0,0,Neither positive nor negative,No,
Otros Obreros,Yes,Yes,50.0,50.0,Yes,50% - About half of my time,0,0,1,0,Neither positive nor negative,Yes,0.2
Profesionales de la Salud,Yes,Yes,10.0,10.0,Unsure,,2,2,2,-2,Strongly Positive,No,
Gerentes Especialistas,Yes,Yes,40.0,70.0,Unsure,,1,2,1,-1,Strongly Positive,Yes,0.02
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,20.0,Yes,20%,2,0,2,2,Somewhat Positive,Yes,0.6
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,100.0,90.0,Yes,90%,1,2,2,2,Strongly Positive,Yes,0.1
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,No,,,Yes,100% - All of my time,-2,-2,-2,1,Strongly Negative,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,No,,,No,,1,0,-1,1,Strongly Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,30.0,30.0,Yes,20%,1,1,1,1,Strongly Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,10.0,Yes,90%,0,-1,-1,1,Somewhat Negative,Yes,0.1
"Profesionales Legales, Sociales y de Bienestar",Yes,Yes,60.0,60.0,No,,1,1,1,-1,Somewhat Positive,No,
Profesionales de la Educación,Yes,Yes,50.0,10.0,Yes,40%,1,1,1,1,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,40.0,Yes,20%,1,0,2,2,Strongly Positive,Yes,0.89
Gerentes Especialistas,Yes,Yes,40.0,20.0,Yes,50% - About half of my time,1,0,-1,0,Somewhat Positive,Yes,0.1
Gerentes Especialistas,No,No,,,Unsure,,1,0,1,1,Somewhat Positive,Yes,0.1
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,60.0,60.0,Unsure,,-1,1,1,-1,Neither positive nor negative,No,
Apoyo de Salud y Bienestar,No,No,,,No,,1,0,1,0,Somewhat Positive,Yes,0.4
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,,,Yes,20%,0,0,1,0,Somewhat Negative,Yes,0.8
Clerks de Consultas y Recepcionistas,Yes,No,,,Yes,100% - All of my time,2,2,2,2,Strongly Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,No,No,,,No,,2,2,2,2,Strongly Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,90.0,80.0,No,,1,-1,-1,2,Somewhat Positive,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,70.0,80.0,No,,2,2,1,2,Strongly Positive,No,
Oficios de Alimentación,Yes,Yes,60.0,70.0,No,,2,2,2,1,Strongly Positive,No,
Otros Obreros,No,Yes,100.0,100.0,Yes,70%,2,-1,2,1,Strongly Positive,No,
Clerical General,No,No,,,No,,1,2,0,1,Somewhat Positive,Yes,0.1
Otros Técnicos y Oficios,Yes,Yes,10.0,10.0,Yes,60%,0,-1,-2,2,Neither positive nor negative,No,
Cuidadores y Asistentes,Yes,Yes,30.0,20.0,No,,1,1,1,-2,Strongly Positive,No,
Clerical General,Yes,Yes,20.0,50.0,No,,0,0,0,0,Neither positive nor negative,Yes,0.2
Gerentes de Oficina y Administradores de Programas,Yes,Yes,10.0,10.0,Yes,20%,1,-1,1,2,Somewhat Positive,Yes,0.1
Apoyo Clerical y de Oficina,Yes,Yes,10.0,10.0,Yes,40%,1,-1,0,1,Somewhat Positive,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,No,,,Unsure,,-2,-2,-2,2,Strongly Negative,No,
Profesionales de la Salud,Yes,Yes,20.0,50.0,Yes,60%,0,1,2,1,Somewhat Positive,Yes,0.25
Gerentes de Oficina y Administradores de Programas,Yes,Yes,10.0,50.0,Yes,100% - All of my time,0,1,1,1,Somewhat Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,No,No,,,No,,2,2,2,-2,Strongly Positive,No,
Gerentes Especialistas,Yes,No,,,No,,2,2,2,1,Strongly Positive,No,
Apoyo Clerical y de Oficina,Yes,No,,,No,,2,2,2,0,Strongly Positive,No,
Profesionales de la Salud,No,No,,,Unsure,,1,-1,0,1,Somewhat Positive,Yes,0.05
"Profesionales Legales, Sociales y de Bienestar",No,No,,,No,,2,2,2,0,Strongly Positive,No,
Servicio de Protección,Yes,Yes,20.0,60.0,Yes,30%,1,1,2,1,Somewhat Positive,Yes,0.2
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,10.0,10.0,Yes,80%,0,-1,0,2,Neither positive nor negative,No,
Apoyo Clerical y de Oficina,Yes,Yes,20.0,20.0,Yes,20%,0,0,0,0,Strongly Positive,No,
Profesionales de la Educación,Yes,Yes,10.0,10.0,Yes,100% - All of my time,-1,1,1,2,Somewhat Negative,Yes,0.2
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,No,,,Unsure,,1,2,2,2,Somewhat Positive,No,
Profesionales de la Educación,Yes,Yes,50.0,80.0,Yes,50% - About half of my time,-1,-1,-1,-1,Somewhat Negative,No,
Gerentes Especialistas,Yes,No,,,No,,2,2,2,2,Strongly Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,10.0,10.0,No,,2,2,2,2,Strongly Positive,No,
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",Yes,No,,,Yes,Less than 10% of my time,2,2,2,2,Strongly Positive,No,
Profesionales de la Educación,Yes,Yes,10.0,40.0,No,,1,2,2,2,Strongly Positive,No,
Profesionales de la Educación,No,No,,,Yes,100% - All of my time,-1,-2,-2,0,Somewhat Negative,Yes,0.1
Profesionales de Tecnologías de la Información y Comunicación,Yes,No,,,Yes,Less than 10% of my time,0,-1,0,1,Neither positive nor negative,No,
Oficios de Construcción,Yes,Yes,50.0,40.0,No,,-1,0,-1,-2,Neither positive nor negative,Yes,0.56
Apoyo Clerical y de Oficina,No,No,,,Unsure,,1,-2,-2,1,Neither positive nor negative,No,
Asistentes y Vendedores,No,No,,,No,,1,1,1,0,Neither positive nor negative,No,
Otros Obreros,No,No,,,No,,1,2,1,0,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,10.0,Yes,20%,0,-1,-1,1,Somewhat Negative,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,10.0,No,,1,1,1,2,Somewhat Positive,No,
Gerentes Especialistas,Yes,Yes,20.0,20.0,Yes,40%,1,1,2,2,Strongly Positive,No,
Profesionales de la Educación,Yes,No,,,No,,2,-2,-2,-2,Strongly Positive,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,No,,,Unsure,,0,0,1,-1,Neither positive nor negative,No,
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",Yes,No,,,Yes,80%,-2,-2,1,2,Strongly Negative,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,No,,,No,,2,2,2,2,Strongly Positive,Yes,0.05
Clerks de Consultas y Recepcionistas,Yes,No,,,Yes,30%,0,0,1,-1,Somewhat Positive,Yes,0.05
Clerical General,No,No,,,Yes,100% - All of my time,-2,-2,-2,1,Strongly Negative,Yes,0.25
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,10.0,20.0,Yes,80%,-1,-1,1,1,Neither positive nor negative,No,
Profesionales de la Educación,Yes,No,,,Unsure,,0,-1,-2,1,Strongly Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,,,Yes,100% - All of my time,-2,-2,-2,2,Strongly Negative,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,No,,,Unsure,,0,1,1,0,Neither positive nor negative,No,
Otros Clericales y Administrativos,Yes,Yes,50.0,100.0,Yes,50% - About half of my time,0,-1,-1,1,Somewhat Positive,No,
Profesionales de la Educación,No,No,,,Unsure,,1,-2,-2,1,Somewhat Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,No,No,,,Yes,60%,-2,-2,-1,-1,Strongly Negative,No,
Representantes y Agentes de Ventas,Yes,No,,,Yes,Less than 10% of my time,2,2,2,1,Strongly Positive,No,
"Profesionales Legales, Sociales y de Bienestar",No,No,,,No,,0,-1,1,1,Somewhat Positive,No,
Profesionales de la Educación,Yes,Yes,30.0,10.0,Yes,100% - All of my time,1,1,2,1,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,No,,,Yes,60%,1,1,2,2,Strongly Positive,No,
Gerentes Especialistas,No,No,,,No,,2,2,2,2,Strongly Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,Yes,50.0,50.0,No,,2,2,2,2,Strongly Positive,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,Yes,10.0,10.0,Unsure,,1,0,0,1,Somewhat Positive,No,
Agricultores y Gerentes de Granjas,Yes,No,,,Yes,40%,2,1,0,1,Somewhat Positive,Yes,0.5
Profesionales de la Salud,Yes,Yes,10.0,80.0,No,,2,2,2,-2,Strongly Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,10.0,No,,0,0,0,0,Neither positive nor negative,Yes,0.03
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,,,No,,2,2,2,1,Strongly Positive,Yes,0.2
Profesionales de las Artes y los Medios,Yes,No,,,Unsure,,0,2,2,2,Somewhat Positive,Yes,0.05
Profesionales de las Artes y los Medios,No,No,,,No,,2,2,2,-2,Strongly Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,No,,,No,,2,2,1,2,Strongly Positive,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,30.0,50.0,Yes,30%,-1,0,1,0,Neither positive nor negative,No,
Gerentes Especialistas,Yes,No,,,Yes,60%,-1,2,-1,1,Neither positive nor negative,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,Yes,10.0,10.0,No,,2,2,2,2,Strongly Positive,No,
Conductores de Carretera y Ferrocarril,Yes,Yes,10.0,80.0,Unsure,,0,0,-2,1,Somewhat Positive,Yes,0.1
Asistentes y Vendedores,No,Yes,40.0,40.0,No,,2,2,2,2,Strongly Positive,No,
Profesionales de la Educación,No,No,,,Unsure,,0,-2,-2,2,Somewhat Negative,Yes,0.05
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,20.0,60.0,Yes,60%,-2,-1,-1,1,Strongly Negative,No,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,50.0,50.0,Yes,100% - All of my time,0,2,2,0,Neither positive nor negative,Yes,0.05
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,20.0,Yes,20%,2,2,2,2,Strongly Positive,Yes,0.2
Profesionales de la Salud,No,Yes,20.0,20.0,Unsure,,2,2,2,2,Strongly Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,90.0,90.0,Yes,20%,1,-1,-1,0,Somewhat Positive,No,
Servicio de Protección,Yes,Yes,50.0,50.0,Yes,60%,2,1,2,1,Strongly Positive,Yes,0.6
Servicio de Protección,Yes,Yes,50.0,40.0,Yes,50% - About half of my time,2,2,1,2,Strongly Positive,Yes,0.6
Apoyo Clerical y de Oficina,No,No,,,No,,2,2,2,0,Strongly Positive,Yes,0.05
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,No,,,Yes,10%,2,2,2,1,Strongly Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",No,No,,,No,,1,-1,-1,1,Neither positive nor negative,No,
Gerentes Especialistas,Yes,Yes,50.0,50.0,Yes,50% - About half of my time,2,2,2,2,Strongly Positive,No,
Profesionales de la Educación,No,No,,,Yes,100% - All of my time,-2,-2,-2,-2,Strongly Negative,No,
Gerentes de Oficina y Administradores de Programas,No,Yes,10.0,10.0,Unsure,,-2,-2,-2,2,Strongly Negative,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,10.0,10.0,No,,2,2,2,-1,Strongly Positive,No,
Otros Técnicos y Oficios,Yes,No,,,No,,2,2,2,0,Strongly Positive,Yes,0.05
Clerks Numéricos,No,No,,,No,,2,2,2,-2,Strongly Positive,No,
Cuidadores y Asistentes,Yes,No,,,No,,1,0,1,0,Somewhat Negative,Yes,0.01
"Profesionales de Negocios, Recursos Humanos y Marketing",No,No,,,No,,1,-1,-1,1,Neither positive nor negative,No,
Gerentes Especialistas,Yes,Yes,10.0,10.0,No,,0,1,1,1,Neither positive nor negative,No,
Clerical General,Yes,Yes,40.0,10.0,Yes,100% - All of my time,-2,-2,-2,-2,Neither positive nor negative,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,10.0,10.0,No,,2,2,2,2,Somewhat Positive,No,
Profesionales de la Educación,Yes,Yes,10.0,100.0,Yes,100% - All of my time,-2,-2,-2,-2,Somewhat Negative,No,
"Profesionales Legales, Sociales y de Bienestar",No,No,,,No,,0,0,1,0,Neither positive nor negative,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,100.0,100.0,Yes,100% - All of my time,2,2,2,2,Strongly Positive,Yes,0.99
Gerentes Especialistas,Yes,Yes,30.0,50.0,Yes,30%,1,2,2,0,Strongly Positive,Yes,0.75
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,Yes,10.0,10.0,No,,2,2,2,-1,Strongly Positive,No,
Profesionales de la Salud,Yes,Yes,10.0,10.0,Unsure,,0,0,1,-1,Strongly Negative,No,
Soporte de Ventas,Yes,No,,,No,,2,-1,-1,-1,Strongly Positive,No,
Otros Clericales y Administrativos,Yes,Yes,20.0,100.0,No,,2,-1,-1,2,Strongly Positive,Yes,0.2
Apoyo de Salud y Bienestar,No,Yes,60.0,60.0,No,,2,2,2,2,Strongly Positive,No,
Profesionales de la Salud,Yes,No,,,Unsure,,-1,1,1,0,Neither positive nor negative,No,
Limpiadores y Lavandería,Yes,Yes,80.0,80.0,Yes,80%,0,0,-1,-2,Somewhat Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,No,,,No,,2,2,1,-2,Strongly Positive,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",No,No,,,No,,2,2,2,1,Strongly Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,No,,,Unsure,,2,2,2,2,Strongly Positive,No,
Profesionales de la Educación,Yes,No,,,Unsure,,1,0,2,2,Neither positive nor negative,No,
Otros Técnicos y Oficios,No,Yes,10.0,10.0,No,,2,2,1,1,Strongly Positive,No,
Conductores de Carretera y Ferrocarril,Yes,Yes,80.0,70.0,Yes,30%,1,-1,-1,1,Somewhat Positive,No,
Gerentes de Oficina y Administradores de Programas,Yes,No,,,Unsure,,1,1,-1,1,Somewhat Positive,Yes,0.02
Gerentes Especialistas,No,Yes,40.0,40.0,No,,2,2,2,0,Strongly Positive,No,
Gerentes Especialistas,Yes,No,,,Yes,60%,1,1,2,1,Somewhat Positive,No,
Gerentes Especialistas,Yes,Yes,30.0,80.0,Yes,100% - All of my time,-2,-2,-2,2,Somewhat Negative,Yes,0.05
"Profesionales de Negocios, Recursos Humanos y Marketing",No,No,,,No,,0,2,2,-1,Somewhat Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,No,,,No,,2,2,2,2,Strongly Positive,No,
"Profesionales Legales, Sociales y de Bienestar",No,Yes,10.0,50.0,Yes,50% - About half of my time,0,-1,-1,2,Neither positive nor negative,No,
Proceso de Fábrica,Yes,Yes,100.0,100.0,No,,2,-2,-2,1,Somewhat Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,80.0,50.0,Yes,60%,1,1,1,-1,Somewhat Positive,No,
Gerentes Especialistas,Yes,Yes,10.0,80.0,No,,2,2,1,1,Strongly Positive,No,
Apoyo Clerical y de Oficina,Yes,Yes,10.0,10.0,Yes,40%,2,1,1,2,Strongly Positive,No,
Gerentes de Oficina y Administradores de Programas,Yes,No,,,Yes,60%,-1,-2,-2,2,Strongly Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,100.0,100.0,Yes,100% - All of my time,2,2,2,2,Strongly Positive,Yes,0.45
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,80.0,90.0,No,,2,1,2,1,Somewhat Positive,No,
Profesionales de la Educación,No,No,,,No,,0,0,0,0,Neither positive nor negative,No,
Gerentes Especialistas,No,Yes,30.0,30.0,Yes,50% - About half of my time,1,-1,-1,1,Somewhat Positive,No,
Asistentes Personales y Secretarias,Yes,No,,,No,,2,0,1,-1,Somewhat Positive,No,
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Yes,Yes,50.0,10.0,Yes,60%,-2,-2,-2,-1,Somewhat Negative,No,
Agricultores y Gerentes de Granjas,Yes,Yes,20.0,20.0,Yes,50% - About half of my time,-1,-1,-1,-1,Somewhat Positive,No,
Cuidadores y Asistentes,Yes,Yes,20.0,50.0,Yes,50% - About half of my time,2,0,0,2,Strongly Positive,No,
Apoyo Clerical y de Oficina,No,Yes,50.0,50.0,No,,1,1,1,0,Strongly Positive,No,
"Gerentes de Hospitalidad, Retail y Servicios",Yes,Yes,20.0,20.0,Yes,100% - All of my time,0,1,1,1,Somewhat Positive,No,
Profesionales de las Artes y los Medios,Yes,Yes,20.0,20.0,Yes,50% - About half of my time,1,1,1,1,Somewhat Positive,Yes,0.05
Oficios de Automoción e Ingeniería,Yes,No,,,No,,1,1,2,2,Strongly Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,No,,,No,,1,1,1,1,Somewhat Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,10.0,10.0,No,,2,2,2,1,Strongly Positive,No,
Gerentes Especialistas,Yes,Yes,10.0,10.0,Unsure,,1,1,1,1,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,70.0,50.0,Yes,50% - About half of my time,0,0,0,0,Neither positive nor negative,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,90.0,50.0,No,,1,2,2,0,Strongly Positive,No,
Apoyo de Salud y Bienestar,Yes,No,,,Yes,Less than 10% of my time,2,2,2,2,Strongly Positive,No,
Profesionales de la Salud,No,No,,,No,,1,1,2,0,Somewhat Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,50.0,50.0,No,,1,1,2,2,Strongly Positive,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",Yes,Yes,20.0,20.0,Yes,20%,1,1,0,0,Somewhat Positive,No,
Agricultores y Gerentes de Granjas,Yes,Yes,50.0,40.0,Yes,100% - All of my time,0,1,0,0,Neither positive nor negative,No,
Apoyo Clerical y de Oficina,Yes,Yes,20.0,50.0,Yes,40%,2,-2,2,2,Somewhat Positive,Yes,0.05
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,No,,,No,,2,2,2,-1,Strongly Positive,No,
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,60.0,100.0,Yes,60%,-1,-1,-1,1,Strongly Negative,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,10.0,10.0,No,,2,2,2,-2,Strongly Positive,No,
Cuidadores y Asistentes,Yes,Yes,50.0,100.0,Yes,100% - All of my time,2,1,1,2,Strongly Positive,Yes,0.24
Profesionales de Tecnologías de la Información y Comunicación,Yes,Yes,10.0,10.0,No,,1,1,-1,1,Somewhat Positive,Yes,0.05
Profesionales de Tecnologías de la Información y Comunicación,Yes,No,,,Unsure,,1,1,1,1,Strongly Positive,No,
Profesionales de Tecnologías de la Información y Comunicación,Yes,No,,,No,,1,0,0,2,Neither positive nor negative,No,
Gerentes Especialistas,Yes,Yes,10.0,20.0,Yes,100% - All of my time,-2,0,1,-1,Somewhat Negative,No,
"Directores Ejecutivos, Gerentes Generales y Legisladores",No,No,,,No,,2,1,1,2,Somewhat Positive,Yes,0.1
"Profesionales de Negocios, Recursos Humanos y Marketing",Yes,Yes,20.0,40.0,Yes,10%,1,0,0,1,Somewhat Positive,No,
