occupation_d,barrera más significativa para realizar tu trabajo de forma remota,barrera menos significativa para realizar tu trabajo de forma remota,mejor aspecto del trabajo remoto para ti,peor aspecto del trabajo remoto para ti
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Equipos de IT ,Sentirse excluido y/o aislado,Gestionar mis compromisos personales,La cantidad de horas que trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Conectividad (conexión a internet),La dirección desalienta el trabajo remoto,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
Cuidadores y Asistentes,Tengo tareas que no se pueden realizar de forma remota,Sentirse excluido y/o aislado,Mis gastos diarios,Mi satisfacción laboral
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Mi situación de vida,Mi espacio de trabajo,Mis relaciones laborales,Mis gastos diarios
"Técnicos de Ingeniería, Tecnologías de la Información y Ciencia",Gestión deficiente,Dificultad para colaborar de forma remota,La cantidad de horas que trabajo,Mi satisfacción laboral
"Directores Ejecutivos, Gerentes Generales y Legisladores",Conectividad (conexión a internet),La dirección desalienta el trabajo remoto,Gestionar mis responsabilidades familiares,Mi bienestar mental
Gerentes Especialistas,Falta de motivación,Ciberseguridad,Gestionar mis responsabilidades familiares,Mi equilibrio entre el trabajo y la vida personal
"Directores Ejecutivos, Gerentes Generales y Legisladores",Falta de motivación,Sentirse excluido y/o aislado,Mi bienestar mental,Mis oportunidades de aprendizaje en el trabajo
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Dificultad para colaborar de forma remota,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Profesionales de la Educación,Sentirse excluido y/o aislado,Equipos de IT ,Mis gastos diarios,La cantidad de horas que trabajo
Gerentes Especialistas,El software y los sistemas de mi organización,Dificultad para colaborar de forma remota,Gestionar mis compromisos personales,Mis relaciones personales
"Directores Ejecutivos, Gerentes Generales y Legisladores",Sentirse excluido y/o aislado,Conectividad (conexión a internet),Gestionar mis responsabilidades familiares,Mis relaciones laborales
Gerentes Especialistas,Sentirse excluido y/o aislado,Falta de motivación,Gestionar mis compromisos personales,La cantidad de horas que trabajo
Clerks de Consultas y Recepcionistas,Falta de motivación,La dirección desalienta el trabajo remoto,Mi equilibrio entre el trabajo y la vida personal,Mis gastos diarios
Apoyo Clerical y de Oficina,Equipos de IT ,Conectividad (conexión a internet),Gestionar mis responsabilidades familiares,Mis oportunidades de socializar
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Dificultad para colaborar de forma remota,La dirección desalienta el trabajo remoto,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
Gerentes Especialistas,Gestión deficiente,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Gerentes Especialistas,Falta de motivación,Gestión deficiente,La cantidad de horas que trabajo,Mi equilibrio entre el trabajo y la vida personal
Profesionales de las Artes y los Medios,Sentirse excluido y/o aislado,El software y los sistemas de mi organización,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Profesionales de Tecnologías de la Información y Comunicación,Conectividad (conexión a internet),Falta de motivación,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
Gerentes Especialistas,Dificultad para colaborar de forma remota,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Apoyo de Salud y Bienestar,Dificultad para colaborar de forma remota,Ciberseguridad,Mis relaciones laborales,Mis relaciones laborales
Gerentes Especialistas,Equipos de IT ,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Gerentes de Oficina y Administradores de Programas,Equipos de IT ,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,Gestión deficiente,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Gerentes de Oficina y Administradores de Programas,Mi situación de vida,Conectividad (conexión a internet),Gestionar mis compromisos personales,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,Dificultad para colaborar de forma remota,Mi situación de vida,Gestionar mis compromisos personales,Mis relaciones laborales
Profesionales de Tecnologías de la Información y Comunicación,Sentirse excluido y/o aislado,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Profesionales de la Salud,Conectividad (conexión a internet),Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Profesionales de la Educación,Dificultad para colaborar de forma remota,Ciberseguridad,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Representantes y Agentes de Ventas,Gestión deficiente,Conectividad (conexión a internet),Mis gastos diarios,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,Gestión deficiente,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
Gerentes Especialistas,Sentirse excluido y/o aislado,Tengo tareas que no se pueden realizar de forma remota,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
Profesionales de la Educación,Conectividad (conexión a internet),Gestión deficiente,Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
Profesionales de Tecnologías de la Información y Comunicación,Conectividad (conexión a internet),El software y los sistemas de mi organización,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
Profesionales de la Educación,Falta de motivación,Ciberseguridad,La cantidad de horas que trabajo,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,La dirección desalienta el trabajo remoto,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
"Directores Ejecutivos, Gerentes Generales y Legisladores",El software y los sistemas de mi organización,Sentirse excluido y/o aislado,Gestionar mis responsabilidades familiares,La cantidad de horas que trabajo
"Gerentes de Hospitalidad, Retail y Servicios",Ciberseguridad,Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Representantes y Agentes de Ventas,La dirección desalienta el trabajo remoto,Dificultad para colaborar de forma remota,Mis oportunidades de aprendizaje en el trabajo,Gestionar mis compromisos personales
Operadores de Máquinas y Plantas Estacionarias,Conectividad (conexión a internet),Sentirse excluido y/o aislado,Mis relaciones laborales,Gestionar mis responsabilidades familiares
Gerentes Especialistas,Falta de motivación,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
"Profesionales de Negocios, Recursos Humanos y Marketing",Gestión deficiente,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Gerentes Especialistas,Gestión deficiente,Tengo tareas que no se pueden realizar de forma remota,La cantidad de horas que trabajo,Mis relaciones laborales
"Profesionales de Negocios, Recursos Humanos y Marketing",Conectividad (conexión a internet),Responsabilidades de cuidado,Gestionar mis responsabilidades familiares,Mis relaciones personales
Conductores de Carretera y Ferrocarril,Tengo tareas que no se pueden realizar de forma remota,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mi bienestar mental
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Falta de motivación,Falta de habilidades para trabajar de forma remota,Mi satisfacción laboral,La cantidad de horas que trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Dificultad para colaborar de forma remota,Mi situación de vida,Mi equilibrio entre el trabajo y la vida personal,La cantidad de horas que trabajo
Profesionales de Tecnologías de la Información y Comunicación,Equipos de IT ,Responsabilidades de cuidado,Mi equilibrio entre el trabajo y la vida personal,Preparación para el trabajo y el desplazamiento
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Conectividad (conexión a internet),Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Asistentes Personales y Secretarias,Responsabilidades de cuidado,Mi espacio de trabajo,Gestionar mis responsabilidades familiares,La cantidad de horas que trabajo
Profesionales de las Artes y los Medios,Falta de motivación,Ciberseguridad,Gestionar mis compromisos personales,Mi bienestar mental
Otros Clericales y Administrativos,Gestión deficiente,Conectividad (conexión a internet),Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Profesionales de Tecnologías de la Información y Comunicación,Gestión deficiente,Falta de motivación,Mi equilibrio entre el trabajo y la vida personal,Mis relaciones laborales
Profesionales de Tecnologías de la Información y Comunicación,Sentirse excluido y/o aislado,La dirección desalienta el trabajo remoto,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Profesionales de la Educación,Conectividad (conexión a internet),Falta de habilidades para trabajar de forma remota,Gestionar mis compromisos personales,Preparación para el trabajo y el desplazamiento
Profesionales de la Educación,Conectividad (conexión a internet),Mi espacio de trabajo,Mis gastos diarios,Mis oportunidades de socializar
Profesionales de la Salud,Tengo tareas que no se pueden realizar de forma remota,Falta de motivación,Mis gastos diarios,Mis relaciones laborales
"Profesionales de Diseño, Ingeniería, Ciencia y Transporte",Falta de motivación,El software y los sistemas de mi organización,Preparación para el trabajo y el desplazamiento,Mis oportunidades de socializar
Gerentes Especialistas,La dirección desalienta el trabajo remoto,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de socializar
"Directores Ejecutivos, Gerentes Generales y Legisladores",Dificultad para colaborar de forma remota,Falta de motivación,Mis relaciones laborales,La cantidad de horas que trabajo
Otros Clericales y Administrativos,Dificultad para colaborar de forma remota,El software y los sistemas de mi organización,Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
Profesionales de la Salud,Dificultad para colaborar de forma remota,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mis oportunidades de aprendizaje en el trabajo
Otros Clericales y Administrativos,Conectividad (conexión a internet),Gestión deficiente,Mi equilibrio entre el trabajo y la vida personal,Gestionar mis responsabilidades familiares
Gerentes Especialistas,Sentirse excluido y/o aislado,La dirección desalienta el trabajo remoto,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
Clerical General,Dificultad para colaborar de forma remota,Sentirse excluido y/o aislado,Mi equilibrio entre el trabajo y la vida personal,Mis oportunidades de aprendizaje en el trabajo
Profesionales de Tecnologías de la Información y Comunicación,Equipos de IT ,Sentirse excluido y/o aislado,Preparación para el trabajo y el desplazamiento,La cantidad de horas que trabajo
"Profesionales de Negocios, Recursos Humanos y Marketing",Falta de motivación,Conectividad (conexión a internet),Mis relaciones laborales,Mis oportunidades de aprendizaje en el trabajo
Gerentes Especialistas,Sentirse excluido y/o aislado,Dificultad para colaborar de forma remota,Gestionar mis compromisos personales,Mis gastos diarios
Gerentes Especialistas,La dirección desalienta el trabajo remoto,Conectividad (conexión a internet),Mis relaciones laborales,Preparación para el trabajo y el desplazamiento
"Profesionales de Negocios, Recursos Humanos y Marketing",Equipos de IT ,Responsabilidades de cuidado,Preparación para el trabajo y el desplazamiento,Mi bienestar mental
Gerentes Especialistas,Dificultad para colaborar de forma remota,Conectividad (conexión a internet),Preparación para el trabajo y el desplazamiento,Mis relaciones laborales
